Date,Hour,R_S_M,G_S_M,B_S_M,R_G_M,G_G_M,B_G_M,PM25,T2M,U_10,V_10,TP,SP,GP,BLH,T_500,U_500,V_500,GP_500,T_850,U_850,V_850,GP_850
29/01/2025,16:00,134.7280414,167.8219671,193.568727,27.68279792,34.44558125,46.29655313,18.980612,283.37158,-1.5430756,-0.6984329,0,99729.19,1411.3127,87.10187,248.03558,10.241365,-9.808431,53996.67,274.05847,0.7920141,5.053069,14209.107
29/01/2025,17:00,138.316485,171.6188421,192.9394089,28.67317813,29.89684583,38.26845625,13.286428,281.3551,-1.5626278,-1.0378504,0,99779.69,1411.3127,49.31048,248.58308,8.719141,-7.9799833,54078.492,273.90485,1.7265339,4.8644423,14249.388
29/01/2025,18:00,107.346766,141.6248026,168.2824746,48.16931667,42.88812396,29.87963542,16.435827,280.30493,-1.4629726,-1.1206846,0,99806.625,1411.3127,57.035892,248.97858,8.356205,-4.631357,54156.645,273.87482,1.3817434,4.1275587,14272.264
29/01/2025,19:00,64.48199249,89.94516231,113.7874721,72.88824167,85.58970208,75.67375,28.360449,279.75928,-1.4443445,-0.99645233,0,99863.31,1411.3127,56.927536,249.20116,9.731749,-1.6144571,54230.977,273.81445,0.72182083,3.7294152,14317.793
29/01/2025,20:00,82.94251938,106.8168362,125.2431129,67.931325,80.72725417,75.525925,28.719219,279.89966,-1.4541168,-0.8388138,4.77E-06,99939.25,1411.3127,49.1625,249.36314,9.757605,-0.2901821,54271.85,273.73352,0.6254616,3.5874803,14376.801
29/01/2025,21:00,78.10773256,101.1410235,121.1601611,68.31076042,80.90196354,77.09485625,21.407717,280.2776,-1.7868624,-0.8857136,1.09E-05,99980.81,1411.3127,42.546402,249.43533,8.502773,1.6299591,54296.52,273.61237,0.36965942,2.8465638,14404.482
29/01/2025,22:00,77.70342054,99.47487161,120.7161822,70.01827708,83.75932292,83.40155521,29.418736,279.8689,-1.6931162,-0.9421654,6.77E-06,100035.125,1411.3127,52.959705,249.95084,9.035829,4.982628,54299.29,272.96796,-2.500063,-0.80933285,14432.621
29/01/2025,23:00,76.88694404,96.97892563,117.8144743,69.80805729,83.71394896,84.56002604,26.733086,279.95996,-1.2195625,-0.7502136,4.72E-05,100056.75,1411.3127,32.97995,250.05789,8.199623,7.78004,54337.54,273.1051,-3.3508606,0.44291943,14442.441
30/01/2025,04:00,92.23880814,111.1499116,128.1765262,64.74238333,79.45811354,83.18812083,24.013199,278.47778,0.11122185,-1.627779,8.26E-05,100048.5,1411.3127,35.441795,249.161,6.7376976,18.435806,54276.047,272.95172,-2.1288834,3.4206765,14411.268
30/01/2025,05:00,90.45030281,110.484811,129.1568895,63.94269688,79.01755208,83.25891146,26.051764,278.2837,-0.51745033,-1.5649405,0.000158295,100053.375,1411.3127,36.675606,249.16286,6.5418186,18.046228,54280.85,273.08298,-1.9010592,3.2929547,14416.91
30/01/2025,06:00,93.9434375,114.2210308,133.1214704,64.09970417,78.50408438,82.2631125,32.4175,278.33105,-0.7756567,-0.42599678,0.000113275,100098.31,1411.3127,33.159454,249.06891,6.6686316,17.725048,54290.438,273.11435,-1.8156443,3.3724961,14450.871
30/01/2025,07:00,88.38723837,110.4088832,131.0602713,66.7321,80.63862604,80.59182813,27.820152,278.61035,-0.6656704,-0.15078449,1.28E-05,100148.31,1411.3127,32.594685,248.88358,7.030471,16.879086,54307.215,273.142,-1.7058525,3.234618,14486.521
30/01/2025,08:00,129.7583394,166.0031371,198.4511616,42.61131667,50.75442083,57.92738021,26.367847,279.27026,-0.7269145,-0.47192764,4.66E-05,100215.44,1411.3127,35.34798,248.76965,7.392645,15.184884,54340.676,273.01813,-1.4167442,3.0374498,14534.466
30/01/2025,09:00,136.8543471,173.2848474,205.1703186,47.3104625,55.7689,61.79498125,25.666552,280.09875,-0.7481112,-0.7589407,6.07E-05,100269.25,1411.3127,68.78801,248.55421,7.7413063,12.432285,54368.258,272.82397,-1.0406361,3.0078669,14573.217
30/01/2025,10:00,140.4146281,175.3801914,204.9659484,45.29121771,54.13565,60.69435,23.924891,281.2605,-0.5392992,-0.7730036,5.91E-05,100329.19,1411.3127,139.84578,248.29985,8.693116,12.405368,54411.86,272.6718,-2.9887753,3.1428246,14627.209
