Stazione, Milano Verziere
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2025/01/01,143
2025/01/02,123
2025/01/03,58
2025/01/04,44
2025/01/05,50
2025/01/06,40
2025/01/07,28
2025/01/08,36
2025/01/09,16
2025/01/10,26
2025/01/11,23
2025/01/12,27
2025/01/13,45
2025/01/14,36
2025/01/15,64
2025/01/16,52
2025/01/17,36
2025/01/18,58
2025/01/19,36
2025/01/20,21
2025/01/21,28
2025/01/22,26
2025/01/23,19
2025/01/24,33
2025/01/25,26
2025/01/26,11
2025/01/27,12
2025/01/28,12
2025/01/29,28
2025/01/30,43
2025/01/31,36
2025/02/01,19
2025/02/02,20
2025/02/03,41
2025/02/04,45
2025/02/05,62
2025/02/06,64
2025/02/07,38
2025/02/08,34
2025/02/09,16
2025/02/10,25
2025/02/11,28
2025/02/12,26
2025/02/13,45
2025/02/14,24
2025/02/15,20
2025/02/16,33
2025/02/17,32
2025/02/18,35
2025/02/19,33
2025/02/20,50
2025/02/21,81
2025/02/22,102
2025/02/23,90
2025/02/24,110
2025/02/25,98
2025/02/26,35
2025/02/27,32
2025/02/28,33
