Stazione, Milano Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2025/01/01,250
2025/01/02,116
2025/01/03,56
2025/01/04,41
2025/01/05,43
2025/01/06,40
2025/01/07,24
2025/01/08,36
2025/01/09,17
2025/01/10,23
2025/01/11,24
2025/01/12,30
2025/01/13,37
2025/01/14,36
2025/01/15,58
2025/01/16,48
2025/01/17,38
2025/01/18,52
2025/01/19,32
2025/01/20,19
2025/01/21,26
2025/01/22,26
2025/01/23,20
2025/01/24,27
2025/01/25,26
2025/01/26,14
2025/01/27,12
2025/01/28,17
2025/01/29,29
2025/01/30,36
2025/01/31,36
2025/02/01,18
2025/02/02,23
2025/02/03,41
2025/02/04,40
2025/02/05,58
2025/02/06,51
2025/02/07,32
2025/02/08,33
2025/02/09,18
2025/02/10,26
2025/02/11,29
2025/02/12,29
2025/02/13,43
2025/02/14,23
2025/02/15,23
2025/02/16,32
2025/02/17,28
2025/02/18,30
2025/02/19,27
2025/02/20,48
2025/02/21,81
2025/02/22,91
2025/02/23,80
2025/02/24,94
2025/02/25,78
2025/02/26,32
2025/02/27,30
2025/02/28,32
