Stazione, Milano v.Senato
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2025/01/01,169
2025/01/02,116
2025/01/03,55
2025/01/04,39
2025/01/05,45
2025/01/06,35
2025/01/07,28
2025/01/08,34
2025/01/09,18
2025/01/10,28
2025/01/11,24
2025/01/12,29
2025/01/13,39
2025/01/14,41
2025/01/15,59
2025/01/16,48
2025/01/17,40
2025/01/18,53
2025/01/19,33
2025/01/20,18
2025/01/21,29
2025/01/22,27
2025/01/23,21
2025/01/24,31
2025/01/25,26
2025/01/26,12
2025/01/27,18
2025/01/28,16
2025/01/29,29
2025/01/30,39
2025/01/31,38
2025/02/01,16
2025/02/02,21
2025/02/03,41
2025/02/04,42
2025/02/05,61
2025/02/06,58
2025/02/07,33
2025/02/08,32
2025/02/09,16
2025/02/10,26
2025/02/11,29
2025/02/12,25
2025/02/13,43
2025/02/14,24
2025/02/15,22
2025/02/16,33
2025/02/17,31
2025/02/18,34
2025/02/19,29
2025/02/20,49
2025/02/21,83
2025/02/22,88
2025/02/23,81
2025/02/24,99
2025/02/25,86
2025/02/26,35
2025/02/27,34
2025/02/28,34
