Stazione, Milano v.Marche
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2025/01/01,195
2025/01/02,135
2025/01/03,68
2025/01/04,53
2025/01/05,52
2025/01/06,44
2025/01/07,30
2025/01/08,39
2025/01/09,20
2025/01/10,28
2025/01/11,37
2025/01/12,39
2025/01/13,50
2025/01/14,49
2025/01/15,71
2025/01/16,74
2025/01/17,56
2025/01/18,60
2025/01/19,45
2025/01/20,23
2025/01/21,28
2025/01/22,35
2025/01/23,24
2025/01/24,39
2025/01/25,35
2025/01/26,19
2025/01/27,15
2025/01/28,16
2025/01/29,40
2025/01/30,50
2025/01/31,46
2025/02/01,24
2025/02/02,28
2025/02/03,47
2025/02/04,56
2025/02/05,74
2025/02/06,81
2025/02/07,51
2025/02/08,43
2025/02/09,20
2025/02/10,31
2025/02/11,41
2025/02/12,31
2025/02/13,53
2025/02/14,33
2025/02/15,29
2025/02/16,45
2025/02/17,41
2025/02/18,43
2025/02/19,37
2025/02/20,61
2025/02/21,99
2025/02/22,109
2025/02/23,95
2025/02/24,115
2025/02/25,72
2025/02/26,35
2025/02/27,45
2025/02/28,52
