Stazione, Milano Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2025/01/01,119
2025/01/02,82
2025/01/03,39
2025/01/04,26
2025/01/05,29
2025/01/06,26
2025/01/07,18
2025/01/08,26
2025/01/09,15
2025/01/10,16
2025/01/11,16
2025/01/12,23
2025/01/13,26
2025/01/14,23
2025/01/15,42
2025/01/16,31
2025/01/17,27
2025/01/18,38
2025/01/19,26
2025/01/20,14
2025/01/21,20
2025/01/22,20
2025/01/23,15
2025/01/24,19
2025/01/25,21
2025/01/26,10
2025/01/27,10
2025/01/28,12
2025/01/29,19
2025/01/30,24
2025/01/31,27
2025/02/01,15
2025/02/02,16
2025/02/03,30
2025/02/04,30
2025/02/05,41
2025/02/06,37
2025/02/07,24
2025/02/08,26
2025/02/09,15
2025/02/10,20
2025/02/11,20
2025/02/12,21
2025/02/13,29
2025/02/14,17
2025/02/15,18
2025/02/16,25
2025/02/17,21
2025/02/18,24
2025/02/19,18
2025/02/20,35
2025/02/21,59
2025/02/22,73
2025/02/23,61
2025/02/24,70
2025/02/25,60
2025/02/26,25
2025/02/27,21
2025/02/28,23
