Stazione, Milano v.Senato
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2025/01/01,143
2025/01/02,102
2025/01/03,46
2025/01/04,30
2025/01/05,37
2025/01/06,29
2025/01/07,21
2025/01/08,26
2025/01/09,16
2025/01/10,18
2025/01/11,14
2025/01/12,21
2025/01/13,27
2025/01/14,21
2025/01/15,42
2025/01/16,29
2025/01/17,26
2025/01/18,35
2025/01/19,26
2025/01/20,15
2025/01/21,19
2025/01/22,21
2025/01/23,16
2025/01/24,23
2025/01/25,22
2025/01/26,8
2025/01/27,12
2025/01/28,11
2025/01/29,20
2025/01/30,29
2025/01/31,30
2025/02/01,12
2025/02/02,18
2025/02/03,31
2025/02/04,34
2025/02/05,44
2025/02/06,46
2025/02/07,23
2025/02/08,29
2025/02/09,17
2025/02/10,21
2025/02/11,23
2025/02/12,23
2025/02/13,33
2025/02/14,17
2025/02/15,17
2025/02/16,28
2025/02/17,22
2025/02/18,25
2025/02/19,21
2025/02/20,39
2025/02/21,61
2025/02/22,79
2025/02/23,66
2025/02/24,83
2025/02/25,74
2025/02/26,28
2025/02/27,24
2025/02/28,23
