Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 00:00:00,2025-01-01 01:00:00,630.703370000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 01:00:00,2025-01-01 02:00:00,519.935800000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 02:00:00,2025-01-01 03:00:00,438.117740000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 03:00:00,2025-01-01 04:00:00,378.926360000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 04:00:00,2025-01-01 05:00:00,305.677300000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 05:00:00,2025-01-01 06:00:00,219.314880000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 06:00:00,2025-01-01 07:00:00,136.040470000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 07:00:00,2025-01-01 08:00:00,173.983960000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 08:00:00,2025-01-01 09:00:00,108.114180000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 09:00:00,2025-01-01 10:00:00,96.107770000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 10:00:00,2025-01-01 11:00:00,51.965717000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 11:00:00,2025-01-01 12:00:00,66.594734000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 12:00:00,2025-01-01 13:00:00,55.349280000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 13:00:00,2025-01-01 14:00:00,57.352596000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 14:00:00,2025-01-01 15:00:00,62.919155000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 15:00:00,2025-01-01 16:00:00,50.378452000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 16:00:00,2025-01-01 17:00:00,62.591190000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 17:00:00,2025-01-01 18:00:00,61.202010000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2025-01-01 18:00:00,2025-01-01 19:00:00,41.238360000000000000,ug.m-3,hour,3,3,2025-01-02 18:00:00,,ad50fa1d-3abd-4bb0-8360-a37d75654a61
