Weighting,Fold,Best Epoch,Matched MAE,Matched RMSE,Matched R2,Common unweighted MAE,Common unweighted RMSE,Common unweighted R2,Common full-weight R2
Full inverse,1,29,5.512564,7.491036,0.7560241222381592,4.3403316,5.8312044,0.7378449440002441,0.7560241222381592
Full inverse,2,20,6.5040736,9.916803,0.7808199524879456,4.5371566,6.309818,0.783490002155304,0.7808199524879456
Full inverse,3,9,5.947453,8.458964,0.6466232538223267,4.700536,6.3816953,0.7181512117385864,0.6466232538223267
Full inverse,4,30,5.1847043,6.7496514,0.7910877466201782,4.994733,6.7280917,0.7526397705078125,0.7910877466201782
Full inverse,5,15,5.047131,7.0578117,0.6279443502426147,4.7945347,6.8027797,0.6536444425582886,0.6279443502426147
Square-root inverse,1,13,5.2725573,7.0084033,0.7128559947013855,5.014023,6.5864487,0.6655398607254028,0.7426074743270874
Square-root inverse,2,22,5.1845326,7.65517,0.7885204553604126,4.5198545,6.266993,0.7864189147949219,0.7752273678779602
Square-root inverse,3,9,4.844475,6.679941,0.7366368770599365,4.5253634,6.15856,0.7375162839889526,0.7218763828277588
Square-root inverse,4,16,4.905338,6.5832915,0.7768212556838989,4.932761,6.6547465,0.7580034732818604,0.796536922454834
Square-root inverse,5,7,4.777153,6.904565,0.6531128883361816,4.6837063,6.7770934,0.6562550067901611,0.6272482872009277
Unweighted,1,5,4.626284,6.0487947,0.7179152965545654,4.626284,6.0487947,0.7179152965545654,0.7544187307357788
Unweighted,2,12,4.3637815,5.915558,0.8097013235092163,4.3637815,5.915558,0.8097013235092163,0.8179529309272766
Unweighted,3,9,4.342771,5.7695556,0.7696285247802734,4.342771,5.7695556,0.7696285247802734,0.7805395126342773
Unweighted,4,12,4.8448734,6.430336,0.7740494012832642,4.8448734,6.430336,0.7740494012832642,0.781098484992981
Unweighted,5,15,4.7934933,6.873832,0.6463715434074402,4.7934933,6.873832,0.6463715434074402,0.6383722424507141
