,Mean,Std,Median,CI 2.5%,CI 97.5%
Overall MAE,7.659784218736282,1.785263421316398,7.449999425747031,4.859652899111185,11.508394826028502
Overall RMSE,10.458534035611134,2.5366621871271744,10.515375867857637,6.509495267220226,16.050137719196126
Overall R2,0.33345132967570557,0.40379783450956896,0.4471833264287875,-0.7428995197945065,0.7152792300182386
Macro MAE,7.659784218736281,1.7852634213163978,7.449999425747031,4.859652899111184,11.508394826028502
Macro RMSE,9.23682471946119,2.043265693044592,9.179218596452147,6.1795974059140315,13.437853738172898
Macro R2,-1.3414290056914557,1.4273156300240104,-0.8438196440680263,-4.956591310733144,0.03611208240333462
Winter R2,-3.3422769138859225,5.612294550883554,-1.0302987862050454,-18.207051593016747,0.26565648794203933
Spring R2,-0.20712729006283231,0.8640786304270046,-0.030653426626663427,-2.0102485014307208,0.8585731408568305
Summer R2,-0.08545778170871447,0.43690420419734854,-0.03068878978076517,-0.8876986377818589,0.6330456717483589
Autumn R2,-1.7308540371083534,1.4443542017375655,-1.3469812332437043,-4.631489955453959,0.1773207031104046
