Feature,Pearson r,Pearson p,Spearman rho,Spearman p
dark_pixel_ratio,-0.5256966965164042,3.5396077114022554e-206,-0.4509145610501163,1.6837771289214454e-145
local_contrast,-0.4952189662226814,1.2980229860866378e-179,-0.3843142953177638,6.946991154208416e-103
colorfulness,-0.4603317694055743,2.4568643044294324e-152,-0.4495542465177435,1.570650843346609e-144
B_std,-0.38069032270294473,7.817166099284758e-101,-0.2992559243037159,3.5507052050867654e-61
mean_gradient_magnitude,-0.36825208706153306,5.468358580800862e-94,-0.2704097014925643,7.417402159478911e-50
laplacian_variance,-0.35600119139876707,1.5494126866840665e-87,-0.27903774519756996,4.2101404719253765e-53
gray_entropy,-0.2770353326175858,2.444128646197064e-52,-0.24333903438912735,2.0135539968622146e-40
G_std,-0.2634039881907711,2.6294272635237223e-47,-0.1787334721741521,2.801086390091885e-22
contrast,-0.25736642477573013,3.597796964878156e-45,-0.1675317599896465,9.898097978758368e-20
R_std,-0.2502001338724636,1.0446549295688984e-42,-0.15556968393452053,3.3783067592981204e-17
S_mean,-0.24912218395972574,2.4136823493027926e-42,-0.24641953200267674,1.935697745282605e-41
B_R_ratio,-0.15592810443252375,2.85493711156488e-17,-0.16910447292974135,4.447472464971152e-20
R_roi,0.09324943429878653,4.784156590742082e-07,0.11368629398826996,8.008289640753556e-10
G_roi,0.06766374880272744,0.0002626922698905912,0.11177781508486115,1.5320686025814099e-09
B_roi,0.05404655222220801,0.003569671572703625,0.10597856471386854,1.0300185401166557e-08
V_mean,0.03756695283990835,0.04290549530167669,0.08740495650776946,2.3822052427562056e-06
sky_luminance_gradient,-0.0794604807107157,1.8053048333924202e-05,-0.08574936010007296,3.687494852554486e-06
sky_brightness,-0.05497235925376368,0.0030379746673676474,-0.006814547216443288,0.7135168232468401
